PDR,GPSR,NGPSR,NPGPSR,NDGPSR
174回目,65.306100,77.551000,69.457000,73.506000
175回目,52.040800,79.591800,74.526900,73.506000
176回目,60.204100,79.591800,87.755100,83.673500
177回目,52.040800,80.612200,73.506000,77.319600
178回目,60.204100,79.591800,73.506000,71.428600
179回目,52.040800,84.693900,80.652400,72.485100
180回目,47.959200,79.591800,83.673500,76.530600
181回目,53.061200,79.591800,77.551000,68.367300
182回目,48.979600,78.610600,69.457000,73.506000
183回目,65.306100,77.551000,77.551000,68.367300
184回目,54.081600,76.530600,85.714300,72.485100
185回目,55.102000,79.591800,75.510200,66.359600
186回目,60.204100,82.653100,77.551000,76.530600
187回目,60.204100,79.591800,78.571400,72.485100
188回目,52.040800,75.547800,83.673500,77.589700
189回目,52.040800,79.591800,80.612200,83.673500
190回目,58.762900,79.591800,69.457000,73.506000
191回目,58.762900,79.591800,78.571400,68.367300
192回目,52.040800,77.551000,74.489800,83.673500
193回目,48.979600,83.673500,70.408200,77.589700
194回目,53.061200,79.591800,69.457000,73.506000
195回目,52.040800,72.449000,67.380500,70.443300
196回目,54.081600,84.693900,79.591800,71.428600
197回目,58.762900,84.693900,75.510200,82.653100
198回目,48.979600,80.612200,76.530600,77.589700
199回目,52.040800,78.610600,79.591800,82.653100
200回目,52.040800,84.693900,75.547800,77.589700
201回目,65.306100,77.551000,70.478400,73.506000
202回目,71.428600,75.547800,80.612200,77.589700
203回目,52.040800,79.591800,74.489800,73.506000
204回目,52.040800,79.421400,78.571400,76.530600
205回目,54.081600,75.547800,84.693900,83.673500
206回目,47.959200,76.530600,77.551000,66.359600
207回目,52.040800,74.489800,73.469400,71.428600
208回目,48.979600,79.591800,80.412400,68.367300
209回目,53.061200,80.612200,65.306100,73.506000
210回目,71.428600,72.449000,74.489800,70.443300
211回目,53.061200,76.530600,74.489800,71.428600
212回目,71.428600,78.610600,77.551000,83.673500
213回目,60.204100,77.551000,80.652400,76.530600
214回目,48.979600,72.449000,75.547800,66.359600
215回目,54.081600,75.510200,87.755100,83.673500
216回目,71.428600,79.591800,79.591800,73.506000
217回目,53.061200,75.510200,74.489800,71.428600
218回目,52.040800,72.449000,80.652400,66.359600
219回目,52.040800,72.449000,77.628400,70.443300
220回目,47.959200,80.612200,72.449000,82.653100
221回目,65.306100,77.551000,75.510200,73.506000
222回目,54.081600,79.591800,69.422300,68.367300
223回目,60.204100,76.530600,77.551000,77.319600
224回目,47.959200,78.610600,87.755100,77.319600
225回目,60.204100,72.449000,79.591800,71.428600
226回目,65.306100,79.591800,73.506000,83.673500
227回目,60.204100,82.653100,78.571400,72.485100
228回目,65.306100,83.673500,83.673500,70.443300
229回目,58.762900,82.653100,71.428600,73.506000
230回目,55.102000,84.693900,80.652400,71.428600
231回目,48.979600,83.673500,78.571400,71.428600
232回目,53.061200,80.612200,74.226800,73.506000
233回目,47.959200,72.449000,80.652400,77.319600
234回目,47.959200,82.653100,76.530600,77.589700
235回目,48.979600,75.547800,79.591800,77.589700
236回目,52.040800,79.591800,75.510200,70.443300
237回目,47.959200,75.547800,75.547800,72.485100
238回目,54.081600,82.653100,74.526900,72.485100
239回目,53.061200,78.610600,78.571400,66.359600
240回目,58.762900,76.530600,69.457000,77.319600
241回目,55.102000,79.591800,80.612200,83.673500
242回目,47.959200,77.551000,75.510200,72.485100
243回目,48.979600,76.530600,71.428600,77.589700
244回目,58.762900,78.610600,77.551000,72.485100
245回目,54.081600,79.591800,87.755100,66.359600
246回目,65.306100,77.551000,90.816300,70.443300
247回目,52.040800,77.551000,71.428600,77.589700
248回目,52.040800,79.591800,80.412400,77.589700
249回目,52.040800,75.547800,76.530600,68.367300
250回目,60.204100,74.489800,79.591800,77.319600
