Delay,GPSR,NGPSR,NPGPSR,NDGPSR
186回目,20.121100,64.496000,16.373200,15.951300
187回目,20.121100,2.637270,2.992320,2.950250
188回目,41.908500,2.332010,2.851820,22.471800
189回目,22.616300,3.110170,2.904850,2.772490
190回目,2.921650,15.730000,2.802790,2.775580
191回目,2.921650,3.110170,3.479240,17.820500
192回目,22.616300,2.406840,16.244900,2.772490
193回目,2.820430,2.428730,31.213000,22.471800
194回目,21.697900,15.730000,2.599030,2.775580
195回目,41.908500,16.741200,2.480110,2.991300
196回目,21.546700,14.960900,3.591440,17.434400
197回目,2.921650,14.960900,16.377400,52.098100
198回目,2.820430,2.531710,16.156600,22.471800
199回目,22.616300,2.566170,16.053800,52.098100
200回目,22.616300,14.960900,16.629400,22.471800
201回目,18.101600,16.089900,2.225960,2.775580
202回目,45.809000,2.332010,15.778600,22.471800
203回目,22.616300,2.637270,16.244900,2.775580
204回目,22.616300,2.925370,2.992320,15.951300
205回目,21.546700,2.332010,39.219000,2.772490
206回目,2.988020,15.760800,3.820050,2.814780
207回目,22.616300,16.710700,30.547700,17.434400
208回目,2.820430,3.110170,2.744210,17.820500
209回目,21.697900,2.531710,18.277500,2.775580
210回目,45.809000,16.741200,16.474400,2.991300
211回目,21.697900,15.760800,2.362080,17.434400
212回目,45.809000,2.566170,16.373200,2.772490
213回目,20.121100,3.049270,3.053550,15.951300
214回目,2.820430,16.741200,2.755980,2.814780
215回目,21.546700,2.744380,2.994970,2.772490
216回目,45.809000,2.637270,3.559720,2.775580
217回目,21.697900,2.744380,16.244900,17.434400
218回目,22.616300,16.741200,3.053550,2.814780
219回目,41.908500,17.235200,15.553200,2.991300
220回目,2.988020,2.531710,2.577510,52.098100
221回目,18.101600,16.089900,2.849200,2.775580
222回目,21.546700,15.730000,2.316130,17.820500
223回目,20.121100,15.760800,3.067210,16.313000
224回目,2.988020,2.566170,2.994970,16.313000
225回目,20.121100,17.235200,3.591610,17.434400
226回目,18.101600,2.637270,16.557800,2.772490
227回目,20.121100,64.496000,16.323900,2.950250
228回目,18.101600,2.428730,3.020520,2.991300
229回目,2.921650,64.496000,17.236400,2.775580
230回目,3.175000,14.960900,3.053550,17.434400
231回目,2.820430,2.428730,15.968900,17.434400
232回目,21.697900,2.531710,2.806400,2.775580
233回目,2.988020,16.741200,2.909250,16.313000
234回目,2.988020,64.496000,2.986140,22.471800
235回目,2.820430,2.332010,2.964480,22.471800
236回目,22.616300,2.637270,15.889400,2.991300
237回目,2.988020,2.332010,2.987560,2.950250
238回目,21.546700,64.496000,16.215900,2.950250
239回目,21.697900,2.566170,16.197800,2.814780
240回目,2.921650,15.760800,2.802790,16.313000
241回目,3.175000,3.110170,15.705800,2.772490
242回目,2.988020,16.089900,29.998500,2.950250
243回目,2.820430,15.760800,31.872100,22.471800
244回目,2.921650,2.566170,2.950550,2.950250
245回目,21.546700,3.110170,2.994970,2.814780
246回目,18.101600,16.089900,2.586380,2.991300
247回目,41.908500,16.089900,2.645250,22.471800
248回目,22.616300,15.730000,2.744210,22.471800
249回目,41.908500,2.332010,29.240600,17.820500
250回目,20.121100,16.710700,3.591610,16.313000
