Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
132回目,1545684.000000,3856958.000000,3483647.000000,3466398.000000
133回目,1574048.000000,3856958.000000,3468935.000000,3429462.000000
134回目,1533364.000000,3868464.000000,3441691.000000,3429462.000000
135回目,1567046.000000,3910850.000000,3457449.000000,3466398.000000
136回目,1545684.000000,3883654.000000,3457167.000000,3459916.000000
137回目,1561186.000000,3846846.000000,3444255.000000,3429462.000000
138回目,1561528.000000,3861456.000000,3459445.000000,3459916.000000
139回目,1567046.000000,3918572.000000,3482345.000000,3423714.000000
140回目,1561528.000000,3830394.000000,3448483.000000,3423714.000000
141回目,1551596.000000,3917988.000000,3461889.000000,3457604.000000
142回目,1533400.000000,3906412.000000,3473177.000000,3466688.000000
143回目,1551596.000000,3872886.000000,3416045.000000,3466688.000000
144回目,1561528.000000,3881366.000000,3441691.000000,3453892.000000
145回目,1533364.000000,3895816.000000,3464691.000000,3435026.000000
146回目,1567046.000000,3890410.000000,3442693.000000,3435026.000000
147回目,1574048.000000,3902954.000000,3438153.000000,3423714.000000
148回目,1556260.000000,3861456.000000,3457449.000000,3435026.000000
149回目,1574048.000000,3846846.000000,3406001.000000,3430500.000000
150回目,1561186.000000,3861880.000000,3457449.000000,3452936.000000
151回目,1561186.000000,3869936.000000,3475965.000000,3453892.000000
152回目,1561528.000000,3846846.000000,3436951.000000,3423714.000000
153回目,1533364.000000,3868464.000000,3457449.000000,3442728.000000
154回目,1561528.000000,3891378.000000,3444255.000000,3442728.000000
155回目,1561528.000000,3861456.000000,3457449.000000,3423714.000000
156回目,1525090.000000,3898688.000000,3438153.000000,3435026.000000
157回目,1545684.000000,3890498.000000,3447277.000000,3452936.000000
158回目,1571804.000000,3866332.000000,3454315.000000,3459916.000000
159回目,1571804.000000,3890498.000000,3438153.000000,3442728.000000
160回目,1545684.000000,3905532.000000,3448483.000000,3459916.000000
161回目,1545684.000000,3905444.000000,3448483.000000,3453892.000000
162回目,1574048.000000,3850096.000000,3444255.000000,3466398.000000
163回目,1574048.000000,3883498.000000,3406001.000000,3442728.000000
164回目,1545684.000000,3830394.000000,3448483.000000,3430500.000000
165回目,1551596.000000,3910850.000000,3436671.000000,3466688.000000
166回目,1571804.000000,3905532.000000,3449865.000000,3453892.000000
167回目,1571804.000000,3890410.000000,3434181.000000,3423714.000000
168回目,1545684.000000,3815996.000000,3447425.000000,3452936.000000
169回目,1533400.000000,3921446.000000,3412271.000000,3466688.000000
170回目,1551596.000000,3846846.000000,3473663.000000,3466398.000000
171回目,1551596.000000,3902954.000000,3441691.000000,3442728.000000
172回目,1571804.000000,3887920.000000,3406001.000000,3466688.000000
173回目,1567046.000000,3880782.000000,3448483.000000,3466398.000000
174回目,1551596.000000,3895816.000000,3456657.000000,3430500.000000
175回目,1574048.000000,3880782.000000,3448483.000000,3429462.000000
176回目,1556260.000000,3895816.000000,3470921.000000,3466688.000000
177回目,1571804.000000,3881366.000000,3468383.000000,3459916.000000
178回目,1556260.000000,3868464.000000,3448483.000000,3435026.000000
179回目,1533400.000000,3888504.000000,3444255.000000,3442728.000000
180回目,1561186.000000,3873010.000000,3464439.000000,3430500.000000
181回目,1551596.000000,3906412.000000,3482345.000000,3466688.000000
182回目,1533400.000000,3872886.000000,3459335.000000,3466398.000000
183回目,1545684.000000,3890498.000000,3448483.000000,3435026.000000
184回目,1533400.000000,3861880.000000,3465587.000000,3459916.000000
185回目,1561528.000000,3877798.000000,3439347.000000,3453892.000000
186回目,1545684.000000,3883498.000000,3461811.000000,3423714.000000
187回目,1574048.000000,3871992.000000,3448483.000000,3423714.000000
188回目,1574048.000000,3872886.000000,3444105.000000,3430500.000000
189回目,1545684.000000,3871992.000000,3441691.000000,3453892.000000
190回目,1525090.000000,3905444.000000,3486579.000000,3466688.000000
191回目,1525090.000000,3846846.000000,3441691.000000,3457604.000000
192回目,1545684.000000,3815996.000000,3550285.000000,3430500.000000
193回目,1545684.000000,3865098.000000,3461811.000000,3459916.000000
194回目,1561186.000000,3841924.000000,3406001.000000,3429462.000000
195回目,1571804.000000,3866332.000000,3444255.000000,3442728.000000
196回目,1574048.000000,3872886.000000,3465301.000000,3435026.000000
197回目,1567046.000000,3895816.000000,3420379.000000,3466688.000000
198回目,1545684.000000,3898688.000000,3456053.000000,3453892.000000
199回目,1525090.000000,3925884.000000,3457577.000000,3429462.000000
200回目,1533364.000000,3880782.000000,3455933.000000,3453892.000000
201回目,1551596.000000,3898688.000000,3429309.000000,3429462.000000
202回目,1551596.000000,3872886.000000,3432285.000000,3435026.000000
203回目,1533364.000000,3869538.000000,3425389.000000,3429462.000000
204回目,1574048.000000,3873010.000000,3461811.000000,3442728.000000
205回目,1567046.000000,3905444.000000,3457449.000000,3457604.000000
206回目,1571804.000000,3868464.000000,3462905.000000,3442728.000000
207回目,1533364.000000,3866332.000000,3433763.000000,3466398.000000
208回目,1561528.000000,3877798.000000,3450121.000000,3429462.000000
209回目,1533400.000000,3872886.000000,3470719.000000,3452936.000000
210回目,1567046.000000,3906412.000000,3421609.000000,3453892.000000
211回目,1533364.000000,3890498.000000,3443401.000000,3459916.000000
212回目,1551596.000000,3891378.000000,3448483.000000,3452936.000000
213回目,1561186.000000,3921446.000000,3448483.000000,3466398.000000
214回目,1556260.000000,3898688.000000,3438153.000000,3453892.000000
215回目,1561186.000000,3875464.000000,3438153.000000,3435026.000000
216回目,1525090.000000,3890498.000000,3438153.000000,3466398.000000
217回目,1561528.000000,3865098.000000,3441691.000000,3459916.000000
218回目,1545684.000000,3865098.000000,3447431.000000,3429462.000000
219回目,1561528.000000,3895816.000000,3441691.000000,3453892.000000
220回目,1556260.000000,3841924.000000,3438153.000000,3452936.000000
221回目,1525090.000000,3883498.000000,3464439.000000,3435026.000000
222回目,1571804.000000,3877798.000000,3463623.000000,3423714.000000
223回目,1571804.000000,3868464.000000,3457449.000000,3459916.000000
224回目,1567046.000000,3883498.000000,3444599.000000,3452936.000000
225回目,1556260.000000,3846846.000000,3441691.000000,3466688.000000
226回目,1574048.000000,3841924.000000,3440513.000000,3442728.000000
227回目,1525090.000000,3891378.000000,3435861.000000,3459916.000000
228回目,1574048.000000,3903538.000000,3464711.000000,3423714.000000
229回目,1533400.000000,3846846.000000,3448483.000000,3466688.000000
230回目,1561528.000000,3920478.000000,3436951.000000,3423714.000000
231回目,1551596.000000,3872886.000000,3436991.000000,3457604.000000
232回目,1533400.000000,3850096.000000,3438153.000000,3453892.000000
233回目,1571804.000000,3871992.000000,3440215.000000,3429462.000000
234回目,1556260.000000,3890498.000000,3473177.000000,3459916.000000
235回目,1545684.000000,3903538.000000,3464439.000000,3459916.000000
236回目,1567046.000000,3906412.000000,3467971.000000,3466398.000000
237回目,1525090.000000,3903538.000000,3482345.000000,3429462.000000
238回目,1551596.000000,3861456.000000,3444255.000000,3435026.000000
239回目,1567046.000000,3869538.000000,3441691.000000,3457604.000000
240回目,1525090.000000,3895816.000000,3451773.000000,3430500.000000
241回目,1556260.000000,3875464.000000,3412019.000000,3459916.000000
242回目,1571804.000000,3890498.000000,3406001.000000,3459916.000000
243回目,1574048.000000,3856958.000000,3438153.000000,3442728.000000
244回目,1551596.000000,3890410.000000,3438003.000000,3466398.000000
245回目,1571804.000000,3888504.000000,3409533.000000,3435026.000000
246回目,1561186.000000,3877798.000000,3457449.000000,3423714.000000
247回目,1551596.000000,3861880.000000,3467373.000000,3459916.000000
248回目,1551596.000000,3880782.000000,3434435.000000,3442728.000000
249回目,1567046.000000,3910850.000000,3431561.000000,3423714.000000
250回目,1567046.000000,3869936.000000,3464439.000000,3430500.000000
