Memory,GPSR,NGPSR,NPGPSR,NDGPSR
155回目,80524.000000,81692.000000,194276.000000,128488.000000
156回目,80556.000000,81292.000000,194608.000000,128592.000000
157回目,80648.000000,81480.000000,194484.000000,128472.000000
158回目,80376.000000,81516.000000,194284.000000,128680.000000
159回目,80164.000000,81140.000000,194384.000000,128716.000000
160回目,80336.000000,81760.000000,194096.000000,128680.000000
161回目,80212.000000,81660.000000,193996.000000,128356.000000
162回目,80296.000000,81148.000000,194492.000000,128040.000000
163回目,80416.000000,81312.000000,194456.000000,128592.000000
164回目,80612.000000,81320.000000,194324.000000,128360.000000
165回目,80724.000000,81300.000000,194808.000000,128352.000000
166回目,79856.000000,81660.000000,194524.000000,128712.000000
167回目,80544.000000,81744.000000,193948.000000,128416.000000
168回目,80032.000000,81336.000000,193968.000000,128452.000000
169回目,80196.000000,81548.000000,194016.000000,128004.000000
170回目,80672.000000,81788.000000,194532.000000,128304.000000
171回目,80740.000000,81768.000000,194224.000000,128796.000000
172回目,80444.000000,81528.000000,194396.000000,128404.000000
173回目,80188.000000,81608.000000,194328.000000,128040.000000
174回目,80676.000000,81448.000000,194264.000000,128696.000000
175回目,80284.000000,81612.000000,194400.000000,128716.000000
176回目,80344.000000,81680.000000,194112.000000,128712.000000
177回目,80432.000000,81428.000000,194236.000000,128708.000000
178回目,80048.000000,81600.000000,194220.000000,128508.000000
179回目,80588.000000,81596.000000,194136.000000,128524.000000
180回目,80300.000000,81312.000000,194392.000000,128000.000000
181回目,80372.000000,81632.000000,194244.000000,128596.000000
182回目,80156.000000,81412.000000,194276.000000,128796.000000
183回目,80332.000000,81624.000000,194480.000000,128560.000000
184回目,80500.000000,81772.000000,194240.000000,128508.000000
185回目,80116.000000,81772.000000,194140.000000,128824.000000
186回目,80464.000000,81764.000000,193960.000000,128536.000000
187回目,80216.000000,81572.000000,194432.000000,128580.000000
188回目,80528.000000,81532.000000,194592.000000,128672.000000
189回目,80508.000000,81536.000000,194340.000000,128724.000000
190回目,80772.000000,81616.000000,194244.000000,128716.000000
191回目,80668.000000,81436.000000,194552.000000,128468.000000
192回目,80388.000000,81416.000000,194240.000000,128036.000000
193回目,80644.000000,81524.000000,194376.000000,128364.000000
194回目,80588.000000,81572.000000,194464.000000,128712.000000
195回目,80264.000000,81580.000000,194396.000000,128688.000000
196回目,80384.000000,81248.000000,194416.000000,128276.000000
197回目,80180.000000,81296.000000,194224.000000,128688.000000
198回目,80464.000000,81616.000000,194368.000000,128504.000000
199回目,80828.000000,81232.000000,194304.000000,128356.000000
200回目,80528.000000,81332.000000,194168.000000,128568.000000
201回目,80184.000000,81272.000000,194480.000000,128036.000000
202回目,80604.000000,81760.000000,194440.000000,128716.000000
203回目,80192.000000,81528.000000,194576.000000,128464.000000
204回目,80572.000000,81696.000000,194564.000000,128732.000000
205回目,80556.000000,81776.000000,194520.000000,128204.000000
206回目,80372.000000,81176.000000,194588.000000,128012.000000
207回目,80196.000000,81164.000000,194100.000000,128692.000000
208回目,80108.000000,81428.000000,194364.000000,128672.000000
209回目,80584.000000,81416.000000,194316.000000,128680.000000
210回目,80428.000000,81340.000000,194508.000000,128468.000000
211回目,80020.000000,81552.000000,194356.000000,128592.000000
212回目,80876.000000,81180.000000,194236.000000,128552.000000
213回目,80432.000000,81568.000000,194180.000000,128548.000000
214回目,80048.000000,81568.000000,194120.000000,128372.000000
215回目,79888.000000,81088.000000,194364.000000,128668.000000
216回目,80336.000000,81752.000000,194504.000000,128468.000000
217回目,80552.000000,81184.000000,194136.000000,128428.000000
218回目,80524.000000,81556.000000,194104.000000,128016.000000
219回目,80524.000000,81716.000000,194500.000000,128560.000000
220回目,80332.000000,81188.000000,194480.000000,128556.000000
221回目,80676.000000,81696.000000,194440.000000,128700.000000
222回目,80400.000000,81572.000000,194596.000000,128480.000000
223回目,80256.000000,81536.000000,194464.000000,128696.000000
224回目,80460.000000,81544.000000,194624.000000,128736.000000
225回目,80628.000000,81204.000000,194756.000000,128428.000000
226回目,80628.000000,81436.000000,194636.000000,128796.000000
227回目,80504.000000,81496.000000,194492.000000,128792.000000
228回目,80760.000000,81444.000000,194408.000000,127896.000000
229回目,80404.000000,81460.000000,194604.000000,128040.000000
230回目,80564.000000,81232.000000,194360.000000,128396.000000
231回目,80652.000000,81564.000000,194368.000000,128796.000000
232回目,80192.000000,81520.000000,194280.000000,128028.000000
233回目,80152.000000,81436.000000,194532.000000,128552.000000
234回目,80504.000000,81736.000000,194416.000000,127904.000000
235回目,80380.000000,81676.000000,194264.000000,128468.000000
236回目,80196.000000,81392.000000,194068.000000,128416.000000
237回目,80632.000000,81360.000000,194500.000000,128736.000000
238回目,80844.000000,81392.000000,194396.000000,128328.000000
239回目,80852.000000,81628.000000,194140.000000,128564.000000
240回目,80588.000000,81776.000000,194140.000000,128348.000000
241回目,80496.000000,81804.000000,194152.000000,128564.000000
242回目,80328.000000,81408.000000,194408.000000,128372.000000
243回目,80288.000000,81308.000000,194260.000000,128696.000000
244回目,80636.000000,81304.000000,194280.000000,128700.000000
245回目,80324.000000,81320.000000,194404.000000,128344.000000
246回目,79980.000000,81432.000000,194156.000000,128476.000000
247回目,80748.000000,81568.000000,194568.000000,128696.000000
248回目,80692.000000,81644.000000,194252.000000,128784.000000
249回目,80536.000000,81600.000000,194536.000000,128220.000000
250回目,80460.000000,81448.000000,194640.000000,128304.000000
