Delay,GPSR,NGPSR,NPGPSR,NDGPSR
230回目,6.277500,9.599750,2.016840,2.130520
231回目,1.892720,5.782670,6.177650,2.130520
232回目,1.927790,2.005920,2.173640,25.047200
233回目,10.346400,20.349100,2.107930,2.159270
234回目,1.899780,5.944990,2.055580,2.197660
235回目,10.296900,2.005920,5.903430,6.080470
236回目,1.899780,2.193650,2.175540,25.047200
237回目,10.256300,2.195100,2.119550,6.010900
238回目,10.346400,13.471700,2.068830,25.047200
239回目,6.277500,13.471700,2.099530,2.197660
240回目,10.061700,6.007170,9.719270,5.808180
241回目,2.061430,9.898510,5.919780,2.019410
242回目,10.296900,2.208080,5.809880,2.159270
243回目,10.296900,2.048040,3.978330,2.197660
244回目,10.346400,5.782670,5.879540,2.130520
245回目,6.277500,5.782670,2.245130,2.019410
246回目,10.256300,5.823920,5.891540,2.197660
247回目,1.899780,13.471700,2.073200,2.170580
248回目,6.277500,2.208080,2.273170,5.808180
249回目,6.277500,6.007170,2.172960,2.197660
250回目,1.892720,13.471700,5.895150,6.080470
