Memory,GPSR,NGPSR,NPGPSR,NDGPSR
216回目,83420.000000,84560.000000,246768.000000,152456.000000
217回目,83680.000000,84416.000000,246540.000000,152628.000000
218回目,83596.000000,84860.000000,246684.000000,152472.000000
219回目,83472.000000,84844.000000,246672.000000,152052.000000
220回目,83824.000000,84676.000000,246424.000000,152544.000000
221回目,83680.000000,84696.000000,247068.000000,152212.000000
222回目,83436.000000,84880.000000,246796.000000,152204.000000
223回目,83936.000000,84704.000000,246512.000000,152536.000000
224回目,83968.000000,84656.000000,246888.000000,152384.000000
225回目,83108.000000,84556.000000,246280.000000,152184.000000
226回目,83728.000000,84780.000000,246360.000000,152656.000000
227回目,83732.000000,84560.000000,246488.000000,152216.000000
228回目,83860.000000,84848.000000,246788.000000,152416.000000
229回目,83348.000000,84656.000000,246136.000000,152556.000000
230回目,83528.000000,84900.000000,246840.000000,152304.000000
231回目,83844.000000,84544.000000,246788.000000,152076.000000
232回目,83476.000000,84332.000000,246620.000000,152216.000000
233回目,83600.000000,84716.000000,246576.000000,152476.000000
234回目,83492.000000,84676.000000,246684.000000,152520.000000
235回目,83800.000000,84688.000000,246936.000000,152548.000000
236回目,83608.000000,84672.000000,246668.000000,152400.000000
237回目,83456.000000,84312.000000,246792.000000,152264.000000
238回目,83952.000000,84708.000000,246680.000000,152520.000000
239回目,83272.000000,84368.000000,246736.000000,152172.000000
240回目,83132.000000,84344.000000,246548.000000,151592.000000
241回目,83428.000000,84812.000000,246688.000000,152276.000000
242回目,83708.000000,84800.000000,246332.000000,152160.000000
243回目,83732.000000,84548.000000,246336.000000,152180.000000
244回目,83604.000000,84892.000000,246164.000000,152520.000000
245回目,83648.000000,84876.000000,246556.000000,152344.000000
246回目,83488.000000,84696.000000,246464.000000,152208.000000
247回目,83468.000000,84956.000000,246560.000000,152388.000000
248回目,83404.000000,84480.000000,246852.000000,152520.000000
249回目,83548.000000,84816.000000,246504.000000,152364.000000
250回目,83508.000000,84820.000000,246836.000000,152356.000000
