HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
219回目,1.476190,1.492540,1.500000,1.492540
220回目,1.459020,1.500000,1.563380,1.507040
221回目,1.413790,1.500000,1.400000,1.477610
222回目,1.350880,1.521130,1.484380,1.476920
223回目,1.476190,1.528570,1.412700,1.485290
224回目,1.476190,1.500000,1.492540,1.523080
225回目,1.442620,1.430770,1.522390,1.521130
226回目,1.350880,1.476190,1.500000,1.492310
227回目,1.459020,1.521740,1.507460,1.528570
228回目,1.413790,1.521740,1.492540,1.528570
229回目,1.442620,1.430770,1.412700,1.523080
230回目,1.442620,1.536230,1.439390,1.492310
231回目,1.351850,1.561640,1.552630,1.523080
232回目,1.351850,1.492540,1.461540,1.523080
233回目,1.351850,1.500000,1.412700,1.523080
234回目,1.431030,1.515150,1.476920,1.476920
235回目,1.468750,1.430770,1.468750,1.476920
236回目,1.442620,1.529410,1.430770,1.476920
237回目,1.459020,1.500000,1.412700,1.492310
238回目,1.476190,1.468750,1.500000,1.523080
239回目,1.468750,1.500000,1.507250,1.485290
240回目,1.351850,1.521130,1.400000,1.523080
241回目,1.459020,1.536230,1.492960,1.523080
242回目,1.350880,1.529410,1.455880,1.492310
243回目,1.442620,1.430770,1.500000,1.528570
244回目,1.406780,1.536230,1.507460,1.477610
245回目,1.413790,1.500000,1.484380,1.476920
246回目,1.431030,1.569440,1.430770,1.476920
247回目,1.468750,1.542860,1.484380,1.477610
248回目,1.468750,1.521130,1.447760,1.492060
249回目,1.406780,1.492540,1.430770,1.492310
250回目,1.406780,1.500000,1.484380,1.521130
