SimTime,GPSR,NGPSR,NPGPSR,NDGPSR
203回目,94.439000,593.170000,393.665000,177.554000
204回目,94.667000,574.246000,391.374000,180.345000
205回目,93.692000,577.113000,395.192000,177.139000
206回目,96.333800,584.004000,393.042000,178.578000
207回目,94.514700,579.883000,393.588000,178.740000
208回目,94.853100,579.909000,391.981000,178.066000
209回目,95.449600,571.779000,394.331000,179.840000
210回目,94.876900,578.694000,389.849000,179.750000
211回目,95.247600,582.560000,392.608000,180.411000
212回目,95.826100,580.778000,389.752000,177.794000
213回目,95.276200,574.446000,396.046000,178.445000
214回目,95.949300,586.467000,391.527000,179.390000
215回目,94.246000,583.371000,393.677000,179.363000
216回目,96.085800,584.018000,394.696000,180.279000
217回目,98.400200,584.853000,392.048000,179.968000
218回目,95.377600,584.926000,395.367000,179.948000
219回目,94.765300,577.295000,394.928000,176.313000
220回目,94.171000,576.710000,392.670000,179.025000
221回目,94.869400,581.843000,393.371000,177.580000
222回目,95.535800,579.117000,394.965000,177.274000
223回目,95.828900,575.803000,393.798000,180.315000
224回目,95.622600,581.169000,390.871000,182.073000
225回目,93.899200,580.640000,392.400000,178.532000
226回目,96.144000,577.483000,395.209000,177.690000
227回目,95.501500,580.181000,391.478000,178.699000
228回目,96.313500,586.720000,394.536000,179.181000
229回目,95.335200,578.785000,393.997000,179.373000
230回目,96.377800,575.467000,392.794000,181.616000
231回目,95.151900,583.928000,392.219000,180.378000
232回目,94.655600,582.518000,392.791000,178.262000
233回目,95.296900,580.027000,392.924000,178.108000
234回目,95.769000,580.613000,392.161000,178.805000
235回目,95.514600,585.897000,393.730000,178.735000
236回目,95.588600,579.491000,394.475000,179.881000
237回目,94.583000,580.356000,395.221000,178.570000
238回目,94.990500,578.774000,392.121000,178.548000
239回目,95.067800,580.028000,396.481000,177.746000
240回目,94.751400,573.240000,394.014000,179.135000
241回目,95.416400,576.869000,392.627000,178.956000
242回目,95.577700,579.670000,394.007000,178.845000
243回目,96.196600,582.406000,391.710000,178.693000
244回目,95.086800,579.760000,393.879000,177.972000
245回目,98.075300,583.031000,392.102000,179.953000
246回目,96.370800,582.761000,390.717000,179.622000
247回目,95.996800,581.456000,394.984000,177.650000
248回目,97.087600,577.949000,392.102000,178.428000
249回目,94.324100,577.695000,391.623000,180.736000
250回目,94.845500,582.194000,394.528000,180.253000
