HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
228回目,1.379310,1.731710,1.712500,1.725000
229回目,1.605630,1.741180,1.732560,1.726190
230回目,1.515150,1.741180,1.688310,1.691360
231回目,1.435480,1.716050,1.687500,1.732560
232回目,1.379310,1.741180,1.741180,1.701300
233回目,1.500000,1.714290,1.700000,1.725000
234回目,1.423730,1.734940,1.679490,1.725000
235回目,1.423730,1.734940,1.727270,1.734180
236回目,1.362070,1.719510,1.688310,1.662340
237回目,1.435480,1.734940,1.679490,1.701300
238回目,1.460320,1.734940,1.683540,1.662340
239回目,1.557140,1.734940,1.684210,1.725000
240回目,1.557140,1.714290,1.732560,1.734940
241回目,1.423730,1.714290,1.684210,1.734940
242回目,1.515150,1.716050,1.698800,1.725000
243回目,1.460320,1.726190,1.753090,1.737500
244回目,1.435480,1.719510,1.688310,1.726190
245回目,1.557140,1.747130,1.741180,1.734180
246回目,1.515150,1.714290,1.726190,1.725000
247回目,1.605630,1.719510,1.679490,1.726190
248回目,1.515150,1.752940,1.644740,1.734940
249回目,1.423730,1.708860,1.732560,1.734940
250回目,1.605630,1.741180,1.683540,1.725000
