Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
188回目,2738900.000000,6123448.000000,5548793.000000,5541380.000000
189回目,2671024.000000,6112018.000000,5449603.000000,5472448.000000
190回目,2694090.000000,6114718.000000,5489819.000000,5493368.000000
191回目,2756014.000000,6149976.000000,5535545.000000,5532040.000000
192回目,2738900.000000,6114718.000000,5516351.000000,5497290.000000
193回目,2738900.000000,6128654.000000,5519929.000000,5541380.000000
194回目,2760098.000000,6112018.000000,5503029.000000,5497354.000000
195回目,2671024.000000,6114718.000000,5455861.000000,5541380.000000
196回目,2694090.000000,6154964.000000,5515479.000000,5469000.000000
197回目,2826040.000000,6076860.000000,5557797.000000,5443008.000000
198回目,2826040.000000,6154964.000000,5513217.000000,5443008.000000
199回目,2843768.000000,6075838.000000,5538983.000000,5495460.000000
200回目,2738900.000000,6149976.000000,5532883.000000,5497354.000000
201回目,2693120.000000,6146416.000000,5499299.000000,5472448.000000
202回目,2693120.000000,6163318.000000,5506543.000000,5469000.000000
203回目,2693120.000000,6123090.000000,5515499.000000,5541380.000000
204回目,2738900.000000,6149976.000000,5518617.000000,5493368.000000
205回目,2738900.000000,6102012.000000,5574733.000000,5541380.000000
206回目,2769676.000000,6112018.000000,5460625.000000,5493368.000000
207回目,2738900.000000,6120472.000000,5507371.000000,5493368.000000
208回目,2738900.000000,6124214.000000,5511659.000000,5497354.000000
209回目,2769676.000000,6141116.000000,5511315.000000,5472448.000000
210回目,2826040.000000,6120472.000000,5493425.000000,5532040.000000
211回目,2694090.000000,6112964.000000,5533473.000000,5469000.000000
212回目,2756014.000000,6110892.000000,5519449.000000,5493368.000000
213回目,2693120.000000,6110892.000000,5526071.000000,5449292.000000
214回目,2756014.000000,6141116.000000,5496873.000000,5541380.000000
215回目,2760098.000000,6102012.000000,5508671.000000,5516036.000000
216回目,2818348.000000,6124214.000000,5513873.000000,5449292.000000
217回目,2694090.000000,6127774.000000,5521877.000000,5449292.000000
218回目,2671024.000000,6141116.000000,5530355.000000,5443008.000000
219回目,2815402.000000,6156422.000000,5533623.000000,5493368.000000
220回目,2738900.000000,6127774.000000,5508431.000000,5495460.000000
221回目,2826040.000000,6124214.000000,5499079.000000,5497354.000000
222回目,2843768.000000,6133094.000000,5462283.000000,5532040.000000
223回目,2671024.000000,6149976.000000,5449365.000000,5493368.000000
224回目,2760098.000000,6105188.000000,5513865.000000,5449292.000000
225回目,2671024.000000,6154964.000000,5510693.000000,5541380.000000
226回目,2693120.000000,6114718.000000,5537243.000000,5495460.000000
227回目,2818348.000000,6075838.000000,5515097.000000,5449292.000000
228回目,2815402.000000,6163072.000000,5516993.000000,5532040.000000
229回目,2693120.000000,6145650.000000,5524203.000000,5443008.000000
230回目,2756014.000000,6177166.000000,5624787.000000,5493368.000000
231回目,2671024.000000,6104296.000000,5524365.000000,5516036.000000
232回目,2693120.000000,6106452.000000,5527443.000000,5449292.000000
233回目,2694090.000000,6127774.000000,5509849.000000,5497290.000000
234回目,2756014.000000,6127774.000000,5612213.000000,5495460.000000
235回目,2815402.000000,6135166.000000,5571239.000000,5449292.000000
236回目,2671024.000000,6124214.000000,5506763.000000,5497290.000000
237回目,2818348.000000,6123090.000000,5486991.000000,5497290.000000
238回目,2815402.000000,6172178.000000,5521759.000000,5472448.000000
239回目,2818348.000000,6080648.000000,5522815.000000,5449292.000000
240回目,2815402.000000,6123448.000000,5566769.000000,5443008.000000
241回目,2756014.000000,6105188.000000,5538235.000000,5449292.000000
242回目,2738900.000000,6163072.000000,5493315.000000,5472448.000000
243回目,2756014.000000,6135166.000000,5496257.000000,5532040.000000
244回目,2769676.000000,6075838.000000,5518837.000000,5443008.000000
245回目,2694090.000000,6127774.000000,5530369.000000,5497354.000000
246回目,2843768.000000,6104296.000000,5448047.000000,5469000.000000
247回目,2693120.000000,6145650.000000,5490065.000000,5532040.000000
248回目,2693120.000000,6123448.000000,5501193.000000,5443008.000000
249回目,2818348.000000,6141116.000000,5501631.000000,5469000.000000
250回目,2693120.000000,6080648.000000,5536505.000000,5469000.000000
