Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
179回目,6.836820,7.709550,7.560500,7.593230
180回目,7.040470,7.622330,7.622300,7.593230
181回目,6.720420,7.738690,7.622270,7.622330
182回目,6.830680,7.884130,7.794040,7.472930
183回目,6.953190,7.738690,7.680510,7.593230
184回目,6.313150,7.680510,7.505950,7.622330
185回目,6.953190,7.709550,7.825970,7.622330
186回目,6.720420,7.593230,7.680510,7.709580
187回目,6.691360,7.709550,7.796880,7.622330
188回目,6.953190,7.622330,7.476860,7.564110
189回目,6.633170,7.680510,7.767610,7.593230
190回目,7.156730,7.535040,7.593230,7.709580
191回目,6.604070,7.709550,7.564120,7.472930
192回目,6.953190,7.535040,7.618860,7.593230
193回目,6.953190,7.825970,7.560500,7.564110
194回目,6.313150,7.680510,7.651420,7.622330
195回目,6.633170,7.535040,7.127740,7.564110
196回目,7.156730,7.706460,7.709520,7.825980
197回目,6.691360,7.706460,7.472910,7.937610
198回目,6.691360,7.706460,7.505930,7.937610
199回目,6.836820,7.796860,7.680500,7.622330
200回目,6.953190,7.709550,7.447770,7.622330
201回目,6.749520,7.884130,7.622320,7.593230
202回目,6.749520,7.680490,7.505960,7.825980
203回目,6.749520,7.651360,7.709580,7.564110
204回目,6.953190,7.709550,7.651410,7.709580
205回目,6.953190,7.884130,7.244060,7.564110
206回目,6.720420,7.680510,7.651420,7.709580
207回目,6.953190,7.913250,7.648080,7.709580
208回目,6.953190,7.884130,7.593230,7.622330
209回目,6.720420,7.680490,7.535000,7.593230
210回目,6.691360,7.913250,7.593230,7.472930
211回目,7.156730,7.767790,7.502120,7.825980
212回目,6.604070,7.738690,7.593230,7.709580
213回目,6.749520,7.738690,7.622330,7.738690
214回目,6.604070,7.680490,7.505930,7.564110
215回目,6.313150,7.884130,7.622330,7.593230
216回目,7.040470,7.884130,7.651420,7.738690
217回目,7.156730,7.709550,7.389580,7.738690
218回目,6.633170,7.680490,7.505950,7.937610
219回目,6.830680,7.680510,7.531310,7.709580
220回目,6.953190,7.709550,7.651420,7.622330
221回目,6.691360,7.884130,7.622330,7.622330
222回目,6.836820,7.738690,7.738680,7.472930
223回目,6.633170,7.709550,7.825970,7.709580
224回目,6.313150,7.825940,7.593230,7.738690
225回目,6.633170,7.706460,7.680510,7.564110
226回目,6.749520,7.535040,7.564080,7.622330
227回目,7.040470,7.796860,7.535050,7.738690
228回目,6.830680,7.680510,7.593210,7.472930
229回目,6.749520,7.622330,7.709510,7.937610
230回目,6.604070,7.706460,7.389580,7.709580
231回目,6.633170,7.971440,7.593170,7.593230
232回目,6.749520,7.825970,7.593240,7.738690
233回目,7.156730,7.709550,7.651420,7.593230
234回目,6.604070,7.709550,7.593230,7.622330
235回目,6.830680,7.767790,7.472930,7.738690
236回目,6.633170,7.884130,7.767790,7.593230
237回目,7.040470,7.651360,7.680490,7.593230
238回目,6.830680,7.709550,7.476810,7.593230
239回目,7.040470,7.709610,7.796880,7.738690
240回目,6.830680,7.622330,7.418670,7.937610
241回目,6.604070,7.825940,7.564140,7.738690
242回目,6.953190,7.680510,7.586100,7.593230
243回目,6.604070,7.767790,7.622320,7.472930
244回目,6.720420,7.796860,7.564140,7.937610
245回目,7.156730,7.709550,7.593230,7.622330
246回目,6.836820,7.971440,7.847050,7.825980
247回目,6.749520,7.622330,7.505950,7.472930
248回目,6.749520,7.622330,7.622330,7.937610
249回目,7.040470,7.680490,7.738700,7.825980
250回目,6.749520,7.709610,7.502080,7.825980
