HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
238回目,2.200850,2.275470,2.256810,2.283520
239回目,2.243800,2.283020,2.264930,2.259400
240回目,2.200850,2.263360,2.266670,2.284130
241回目,2.202640,2.289960,2.265380,2.259400
242回目,2.246860,2.280300,2.274130,2.283520
243回目,2.202640,2.288390,2.282440,2.261720
244回目,2.229440,2.279850,2.257690,2.284130
245回目,2.243900,2.275470,2.264370,2.290080
246回目,2.217020,2.291970,2.265920,2.271380
247回目,2.215520,2.263360,2.271320,2.261720
248回目,2.215520,2.263360,2.274810,2.284130
249回目,2.243800,2.291670,2.278200,2.271380
250回目,2.215520,2.283020,2.276260,2.271380
