HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
183回目,2.205300,2.464730,2.476990,95.335700
184回目,2.217690,2.466670,2.430490,95.335700
185回目,2.217110,2.466670,2.468620,95.335700
186回目,2.205300,2.466670,2.433040,95.335700
187回目,2.167880,2.466670,2.457630,95.335700
188回目,2.206900,2.466670,2.445890,95.335700
189回目,2.217690,2.461860,2.639830,95.335700
190回目,2.195800,2.466670,2.457630,95.335700
191回目,2.077520,2.464730,2.169930,95.335700
192回目,2.173910,2.706610,2.470340,95.335700
193回目,2.217110,2.439460,2.450000,95.335700
194回目,2.173910,2.475410,2.493560,95.335700
195回目,2.173910,2.475410,2.479170,95.335700
196回目,2.239730,2.461860,2.425440,95.335700
197回目,2.217690,2.461860,2.459920,95.335700
198回目,2.206900,2.489540,2.464140,95.335700
199回目,2.217690,2.495830,2.483470,95.335700
200回目,2.077520,2.487500,2.460250,95.335700
201回目,2.167880,2.489540,2.451060,95.335700
202回目,2.217690,2.464730,2.489630,95.335700
203回目,2.173910,2.466670,2.471070,95.335700
204回目,2.219180,2.487390,2.480850,95.335700
205回目,2.167880,2.461860,2.481170,95.335700
206回目,2.217690,2.451880,2.468350,95.335700
207回目,2.195800,2.475410,2.466670,95.335700
208回目,2.077520,2.684440,2.480850,95.335700
209回目,2.217110,2.487500,2.458330,95.335700
210回目,2.239730,2.463110,2.470830,95.335700
211回目,2.195800,2.451880,2.475810,95.335700
212回目,2.200000,2.487390,2.456070,95.335700
213回目,2.195800,2.478810,2.489630,95.335700
214回目,2.205300,2.466670,2.489630,95.335700
215回目,2.219180,2.439460,2.489630,95.335700
216回目,2.077520,2.475410,2.474790,95.335700
217回目,2.205300,2.470830,2.473030,95.335700
218回目,2.206900,2.461860,2.466670,95.335700
219回目,2.219180,2.464730,2.457630,95.335700
220回目,2.217110,2.470830,2.434390,95.335700
221回目,2.219180,2.495830,2.461860,95.335700
222回目,2.077520,2.466670,2.481010,95.335700
223回目,2.205300,2.470590,2.489450,95.335700
224回目,2.219180,2.470830,2.489630,95.335700
225回目,2.217690,2.489540,2.464140,95.335700
226回目,2.219180,2.489540,2.441050,95.335700
227回目,2.195800,2.450640,2.478630,95.335700
