SimTime,GPSR,NGPSR,NPGPSR,NDGPSR
211回目,13.934500,69.235700,55.128800,24.398600
212回目,14.289500,71.474900,54.821400,24.167600
213回目,13.902100,69.659000,54.887300,24.691400
214回目,14.323500,69.806200,55.241700,24.435200
215回目,14.009300,69.337100,55.131900,24.226500
216回目,14.172400,70.202800,55.137500,24.414200
217回目,13.936400,72.089100,54.744500,23.981600
218回目,14.223700,70.249000,55.367800,24.357800
219回目,14.033100,68.543100,54.351800,24.239800
220回目,13.963400,71.405000,55.193700,24.422500
221回目,14.381100,69.648900,54.926800,24.158300
222回目,14.244700,71.096300,55.266500,24.422200
223回目,14.369600,69.694400,54.643600,24.355600
224回目,14.400800,68.673900,54.349700,24.326800
225回目,14.218900,69.754200,55.191600,24.245100
226回目,14.341400,69.870200,54.948300,24.562800
227回目,14.239500,69.205100,54.643400,24.284300
228回目,13.984700,69.074300,54.709000,24.466600
229回目,14.408500,69.800500,54.741600,24.279100
230回目,13.893100,69.669100,55.101900,24.007000
231回目,14.096000,70.148700,55.328800,24.230100
232回目,14.201900,69.670900,55.110100,24.487900
233回目,14.320900,70.229000,55.344000,24.547500
234回目,14.091100,69.156900,55.101200,24.427800
235回目,14.044500,70.416400,55.088600,24.487200
236回目,14.192800,70.194600,55.499400,24.448400
237回目,14.187700,69.317000,54.667000,24.353900
238回目,14.257300,69.948000,55.728300,24.098100
239回目,13.949800,70.323800,55.257600,24.423600
240回目,14.256000,69.608200,54.949500,24.294600
241回目,14.215000,70.940400,55.115100,25.095200
242回目,14.191800,69.574900,55.024600,24.451700
243回目,14.140600,70.166000,55.281000,24.767600
244回目,14.289100,69.278600,54.896900,24.704900
245回目,14.135800,70.195700,55.400700,24.410400
246回目,13.844000,69.495000,55.192900,23.941700
247回目,14.375500,68.777100,55.168100,24.452000
248回目,13.831800,70.365800,55.125000,24.207400
249回目,14.263800,72.014600,55.196600,24.047500
250回目,14.010700,68.653900,54.732400,23.999200
