Delay,GPSR,NGPSR,NPGPSR,NDGPSR
205回目,2.276120,47.519000,14.567700,2.422070
206回目,1.863190,2.590820,2.232270,15.231800
207回目,16.544100,26.624000,2.232270,14.838900
208回目,1.974890,47.519000,2.351630,15.009800
209回目,46.207500,14.620200,2.326830,14.838900
210回目,16.066500,26.747100,2.187730,2.422070
211回目,2.219440,2.232090,2.346930,2.538230
212回目,1.863190,2.461240,14.545100,15.009800
213回目,46.207500,2.644380,2.269270,2.422070
214回目,16.396700,47.519000,2.351630,2.422070
215回目,1.974890,2.590820,2.159320,15.231800
216回目,1.863190,47.519000,15.114400,2.422070
217回目,32.289200,2.745680,2.187730,2.538230
218回目,2.276120,2.435520,2.336190,2.130090
219回目,1.863190,2.486960,2.189790,2.279030
220回目,32.289200,2.232090,2.224160,2.279030
221回目,16.066500,2.486960,15.099400,2.422070
222回目,2.219440,2.232090,2.917260,2.130090
223回目,32.289200,2.644380,2.688670,2.617810
224回目,46.207500,47.519000,14.545100,2.538230
225回目,1.863190,2.644380,2.854490,2.422070
226回目,2.276120,2.644380,14.734700,2.279030
227回目,1.974890,26.624000,2.232270,2.422070
228回目,2.321870,2.103500,2.404240,2.422070
229回目,46.207500,15.194200,2.404240,13.551700
230回目,16.066500,2.103500,2.269270,2.422070
231回目,2.088860,2.435520,2.232270,2.422070
232回目,1.974890,47.519000,2.232270,2.279030
233回目,46.207500,2.644380,2.504710,2.428760
234回目,1.974890,2.103500,2.159320,2.617810
235回目,2.276120,2.486960,2.404240,2.538230
236回目,16.066500,2.486960,2.187730,2.617810
237回目,2.321870,2.644380,2.160890,2.428760
238回目,16.396700,2.063460,2.568800,2.422070
239回目,46.207500,2.177930,14.734700,2.428760
240回目,16.544100,47.519000,2.694320,15.009800
241回目,1.863190,2.644380,2.458300,2.422070
242回目,1.863190,2.461240,2.720180,15.009800
243回目,2.219440,2.644380,14.734700,14.838900
244回目,16.066500,2.103500,2.326220,13.551700
245回目,46.207500,2.644380,16.272900,15.009800
246回目,16.066500,2.486960,14.796600,13.551700
247回目,16.066500,2.232090,2.410450,2.279030
248回目,16.544100,14.620200,14.545100,2.428760
249回目,2.321870,2.656640,2.148100,2.279030
250回目,2.088860,2.590820,3.054190,15.231800
