Delay,GPSR,NGPSR,NPGPSR,NDGPSR
240回目,10.576300,9.228660,2.312770,0.000000
241回目,10.858900,2.331200,6.945250,0.000000
242回目,28.301800,12.396500,6.935920,0.000000
243回目,10.576300,2.267950,6.961180,0.000000
244回目,19.335300,2.346930,2.009890,0.000000
245回目,2.149240,2.512860,2.475190,0.000000
246回目,28.301800,2.380440,20.500300,0.000000
247回目,19.842900,6.937660,6.890070,0.000000
248回目,2.149240,2.679510,11.546800,0.000000
249回目,10.911300,2.346930,2.426290,0.000000
250回目,10.858900,7.001790,6.911740,0.000000
