Memory,GPSR,NGPSR,NPGPSR,NDGPSR
168回目,73264.000000,74680.000000,146764.000000,0.000000
169回目,73872.000000,74680.000000,146824.000000,0.000000
170回目,73836.000000,75120.000000,147304.000000,0.000000
171回目,73592.000000,74300.000000,146736.000000,0.000000
172回目,73940.000000,74472.000000,146996.000000,0.000000
173回目,73732.000000,75116.000000,146936.000000,0.000000
174回目,74084.000000,74904.000000,146824.000000,0.000000
175回目,73816.000000,74720.000000,146772.000000,0.000000
176回目,73944.000000,74756.000000,147032.000000,0.000000
177回目,73680.000000,74356.000000,146468.000000,0.000000
178回目,73412.000000,74432.000000,146648.000000,0.000000
179回目,73436.000000,74292.000000,147108.000000,0.000000
180回目,74360.000000,75132.000000,146880.000000,0.000000
181回目,73956.000000,74948.000000,146768.000000,0.000000
182回目,73616.000000,74920.000000,147104.000000,0.000000
183回目,74088.000000,74940.000000,146420.000000,0.000000
184回目,73664.000000,75128.000000,146724.000000,0.000000
185回目,73616.000000,74440.000000,146556.000000,0.000000
186回目,73940.000000,74740.000000,146904.000000,0.000000
187回目,73664.000000,74456.000000,146952.000000,0.000000
188回目,73792.000000,74540.000000,146428.000000,0.000000
189回目,74204.000000,74256.000000,146540.000000,0.000000
190回目,73612.000000,74740.000000,146908.000000,0.000000
191回目,74176.000000,74544.000000,147132.000000,0.000000
192回目,73580.000000,74292.000000,146744.000000,0.000000
193回目,73684.000000,74688.000000,146536.000000,0.000000
194回目,73936.000000,74696.000000,146580.000000,0.000000
195回目,73808.000000,74548.000000,146828.000000,0.000000
196回目,74052.000000,74956.000000,146872.000000,0.000000
197回目,73748.000000,74744.000000,146908.000000,0.000000
198回目,74012.000000,74952.000000,147124.000000,0.000000
199回目,74084.000000,74940.000000,147040.000000,0.000000
200回目,73688.000000,74968.000000,146868.000000,0.000000
201回目,73652.000000,74656.000000,146976.000000,0.000000
202回目,73656.000000,74648.000000,146316.000000,0.000000
203回目,73688.000000,74804.000000,146716.000000,0.000000
204回目,73616.000000,74500.000000,146896.000000,0.000000
205回目,73404.000000,74292.000000,146936.000000,0.000000
206回目,73688.000000,74544.000000,146936.000000,0.000000
207回目,73864.000000,74476.000000,146896.000000,0.000000
208回目,73964.000000,74244.000000,147116.000000,0.000000
209回目,73740.000000,74960.000000,147032.000000,0.000000
210回目,73944.000000,74252.000000,146928.000000,0.000000
211回目,73672.000000,74748.000000,147220.000000,0.000000
212回目,73736.000000,74812.000000,147024.000000,0.000000
213回目,73636.000000,74292.000000,146852.000000,0.000000
214回目,73944.000000,74548.000000,146788.000000,0.000000
215回目,73912.000000,74948.000000,146856.000000,0.000000
216回目,73668.000000,74548.000000,147212.000000,0.000000
