SimTime,GPSR,NGPSR,NPGPSR,NDGPSR
83回目,40.754400,229.607000,175.922000,0.000000
84回目,41.185300,229.887000,176.187000,0.000000
85回目,41.146800,230.219000,174.015000,0.000000
86回目,40.768900,228.391000,175.266000,0.000000
87回目,41.446000,227.834000,176.337000,0.000000
88回目,41.015600,231.475000,175.817000,0.000000
89回目,40.849400,227.693000,174.310000,0.000000
90回目,40.696700,230.861000,175.669000,0.000000
91回目,42.036200,230.361000,175.921000,0.000000
92回目,41.595100,228.691000,176.489000,0.000000
93回目,41.678200,230.163000,177.626000,0.000000
94回目,41.233900,229.199000,176.079000,0.000000
95回目,42.163200,229.929000,175.943000,0.000000
96回目,41.120100,229.928000,175.645000,0.000000
97回目,40.818900,229.403000,175.897000,0.000000
98回目,41.290100,229.999000,175.012000,0.000000
99回目,40.934900,228.495000,176.760000,0.000000
100回目,40.902700,229.661000,176.057000,0.000000
101回目,41.064400,228.374000,176.163000,0.000000
102回目,41.024100,230.953000,175.518000,0.000000
103回目,40.686700,230.206000,174.869000,0.000000
104回目,41.179200,227.516000,174.930000,0.000000
105回目,42.199700,230.799000,175.189000,0.000000
106回目,41.799500,230.969000,177.966000,0.000000
107回目,41.525500,228.429000,175.841000,0.000000
108回目,40.838400,229.190000,175.667000,0.000000
109回目,41.490200,228.735000,175.697000,0.000000
110回目,40.810700,226.781000,175.574000,0.000000
111回目,41.568000,229.787000,176.254000,0.000000
112回目,41.220500,231.349000,180.735000,0.000000
113回目,42.093500,231.377000,176.120000,0.000000
114回目,44.881700,231.898000,177.993000,0.000000
115回目,41.211900,230.434000,176.475000,0.000000
116回目,41.373900,230.754000,175.308000,0.000000
117回目,41.147100,229.934000,176.025000,0.000000
118回目,41.787500,228.338000,176.062000,0.000000
119回目,41.117600,230.700000,174.186000,0.000000
120回目,41.725700,228.394000,177.537000,0.000000
121回目,41.339500,230.283000,176.351000,0.000000
122回目,41.426400,228.522000,176.056000,0.000000
123回目,42.531300,231.126000,176.193000,0.000000
124回目,41.745500,231.978000,178.504000,0.000000
125回目,40.998600,228.796000,175.081000,0.000000
126回目,41.098900,227.277000,175.128000,0.000000
127回目,41.599700,228.579000,176.482000,0.000000
128回目,41.660300,231.047000,174.322000,0.000000
129回目,41.197400,229.993000,175.833000,0.000000
130回目,40.977100,229.533000,177.158000,0.000000
131回目,40.966800,226.037000,177.034000,0.000000
132回目,40.929900,231.701000,176.282000,0.000000
133回目,41.223700,230.036000,174.571000,0.000000
134回目,40.877600,228.675000,176.034000,0.000000
135回目,42.620900,232.305000,175.644000,0.000000
136回目,41.390500,229.150000,177.880000,0.000000
137回目,41.056600,227.788000,175.234000,0.000000
138回目,41.232000,228.429000,174.964000,0.000000
139回目,41.249100,228.818000,175.519000,0.000000
140回目,40.660200,229.137000,175.455000,0.000000
141回目,41.390400,229.345000,177.639000,0.000000
142回目,41.318200,230.692000,175.261000,0.000000
143回目,40.814200,230.279000,175.578000,0.000000
144回目,41.144300,227.281000,177.673000,0.000000
145回目,41.317900,238.091000,176.147000,0.000000
146回目,40.842100,230.025000,176.061000,0.000000
147回目,41.538500,230.272000,175.377000,0.000000
148回目,40.983800,230.725000,177.895000,0.000000
149回目,40.303000,229.292000,174.754000,0.000000
150回目,41.158200,231.979000,174.359000,0.000000
151回目,41.447900,229.977000,175.162000,0.000000
152回目,42.008900,232.026000,177.932000,0.000000
153回目,41.132100,228.750000,176.125000,0.000000
154回目,40.950700,228.233000,176.432000,0.000000
155回目,41.041800,228.713000,175.661000,0.000000
156回目,41.809800,227.803000,175.174000,0.000000
157回目,41.400900,231.640000,175.901000,0.000000
158回目,40.929000,230.288000,175.680000,0.000000
159回目,41.094300,228.694000,175.804000,0.000000
