Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
180回目,6.744480,7.535050,7.360490,7.215020
181回目,6.744480,7.683830,7.273210,7.215020
182回目,6.864870,7.578930,7.414550,7.360490
183回目,6.905930,7.331400,7.069560,7.318030
184回目,6.937170,7.326970,7.625360,7.920170
185回目,6.744480,7.806310,7.069560,7.215020
186回目,6.905930,7.806310,7.435590,7.215020
187回目,6.813040,7.622320,7.502120,7.322260
188回目,6.937170,7.505950,7.589690,7.533630
189回目,6.744480,7.578930,7.700720,7.322260
190回目,6.905930,7.326970,7.273210,7.533630
191回目,7.490240,7.472930,7.545700,7.920170
192回目,6.782700,7.472930,7.622330,7.311250
193回目,6.772800,7.410380,7.670710,7.360490
194回目,6.905930,7.564140,7.127740,7.318030
195回目,6.864870,7.622320,7.476860,7.098650
196回目,6.772800,7.406210,7.560500,7.533630
197回目,6.744480,7.472930,7.852410,7.533630
198回目,6.864870,7.406210,7.830520,7.920170
199回目,6.813040,7.535050,7.494370,7.920170
200回目,7.490240,7.535050,7.351810,7.311250
201回目,6.648540,7.418630,7.331380,7.360490
202回目,6.772800,7.535050,7.443740,7.322260
203回目,6.782700,7.326970,7.410390,7.360490
204回目,6.772800,7.578930,7.709600,7.215020
205回目,7.490240,7.806310,7.331380,7.215020
206回目,6.744480,7.578930,7.523310,7.181020
207回目,6.648540,7.578930,7.356160,7.920170
208回目,6.813040,7.505950,7.389590,7.098650
209回目,7.490240,7.622320,7.331400,7.360490
210回目,6.744480,7.796880,7.215020,7.322260
211回目,6.937170,7.535050,7.527550,7.181020
212回目,6.707020,7.535050,7.490460,7.318030
213回目,6.782700,7.564140,7.215030,7.181020
214回目,6.905930,7.410380,7.447770,7.322260
215回目,6.707020,7.622320,7.414550,7.318030
216回目,6.905930,7.796880,7.723250,7.535040
217回目,6.772800,7.389580,7.622320,7.533630
218回目,6.813040,7.472930,7.249800,7.318030
219回目,7.490240,7.796880,7.318040,7.360490
220回目,6.813040,7.564140,7.360490,7.215020
221回目,6.937170,7.622320,7.564140,7.098650
222回目,6.813040,7.535050,7.360490,7.533630
223回目,6.772800,7.806310,7.166070,7.181020
224回目,6.937170,7.564140,7.535050,7.535040
225回目,6.905930,7.472930,7.156840,7.318030
226回目,6.648540,7.541950,7.351810,7.535040
227回目,6.864870,7.389580,7.273210,7.535040
228回目,6.744480,7.564140,7.560500,7.322260
229回目,6.813040,7.622320,7.519950,7.098650
230回目,6.707020,7.418630,7.141700,7.533630
231回目,6.864870,7.389580,7.440500,7.360490
232回目,7.490240,7.535050,7.322520,7.360490
233回目,6.744480,7.331400,7.700100,7.920170
234回目,6.905930,7.535050,7.494370,7.098650
235回目,6.782700,7.622320,7.608420,7.533630
236回目,6.707020,7.472930,7.664070,7.311250
237回目,6.905930,7.505950,7.680510,7.181020
238回目,6.905930,7.406210,7.535050,7.311250
239回目,6.782700,7.796880,7.500500,7.533630
240回目,6.864870,7.535050,7.578930,7.920170
241回目,6.864870,7.326970,7.418670,7.535040
242回目,6.813040,7.564140,7.064250,7.535040
243回目,7.490240,7.541950,7.385360,7.318030
244回目,6.813040,7.535050,7.351810,7.098650
245回目,6.905930,7.564140,7.389580,7.920170
246回目,7.490240,7.622320,7.560500,7.533630
247回目,6.905930,7.244110,7.302300,7.318030
248回目,6.813040,7.622320,7.215030,7.098650
249回目,6.905930,7.531310,7.549440,7.181020
250回目,6.905930,7.578930,7.297770,7.318030
