Memory,GPSR,NGPSR,NPGPSR,NDGPSR
131回目,84564.000000,85688.000000,560436.000000,285340.000000
132回目,84436.000000,85680.000000,560856.000000,285088.000000
133回目,84472.000000,85376.000000,560372.000000,284976.000000
134回目,84616.000000,85396.000000,560488.000000,285084.000000
135回目,84612.000000,85452.000000,560584.000000,284648.000000
136回目,84760.000000,85836.000000,561224.000000,284968.000000
137回目,84352.000000,85180.000000,560652.000000,285288.000000
138回目,84660.000000,85692.000000,560576.000000,285512.000000
139回目,84600.000000,85736.000000,560788.000000,285072.000000
140回目,84720.000000,85668.000000,560304.000000,285540.000000
141回目,84916.000000,85860.000000,560776.000000,285344.000000
142回目,84316.000000,85596.000000,560872.000000,285148.000000
143回目,84732.000000,85844.000000,560560.000000,284984.000000
144回目,84572.000000,85712.000000,561044.000000,285320.000000
145回目,84344.000000,85664.000000,560484.000000,285360.000000
146回目,84480.000000,85896.000000,560644.000000,285328.000000
147回目,84892.000000,85588.000000,560956.000000,284680.000000
148回目,84632.000000,85684.000000,560880.000000,284684.000000
149回目,84760.000000,85384.000000,560528.000000,285456.000000
150回目,84556.000000,85336.000000,561268.000000,285072.000000
151回目,84608.000000,85764.000000,560232.000000,285368.000000
152回目,84532.000000,85760.000000,561112.000000,285284.000000
153回目,84688.000000,85228.000000,560736.000000,285088.000000
154回目,84864.000000,85632.000000,560896.000000,285100.000000
155回目,84224.000000,85544.000000,560944.000000,285320.000000
156回目,84072.000000,85760.000000,561152.000000,285164.000000
157回目,84628.000000,85692.000000,560744.000000,285100.000000
158回目,84412.000000,85692.000000,560652.000000,285332.000000
159回目,84320.000000,85592.000000,560176.000000,285352.000000
160回目,84160.000000,85460.000000,560740.000000,284944.000000
161回目,84480.000000,85304.000000,560816.000000,285204.000000
162回目,84440.000000,85692.000000,560356.000000,285508.000000
163回目,84664.000000,85280.000000,560504.000000,285468.000000
164回目,84660.000000,85324.000000,560952.000000,285140.000000
165回目,84768.000000,85224.000000,560840.000000,285204.000000
166回目,84348.000000,85752.000000,560484.000000,284944.000000
167回目,84636.000000,85564.000000,560396.000000,284656.000000
168回目,84288.000000,85356.000000,560724.000000,285596.000000
169回目,84560.000000,85160.000000,560844.000000,285508.000000
170回目,84868.000000,85252.000000,560676.000000,285332.000000
171回目,84460.000000,85180.000000,560372.000000,285440.000000
172回目,84752.000000,85428.000000,560424.000000,285528.000000
173回目,84320.000000,85704.000000,560812.000000,285308.000000
174回目,84400.000000,85880.000000,561168.000000,285124.000000
175回目,84868.000000,85496.000000,560356.000000,285172.000000
176回目,84468.000000,85540.000000,560912.000000,285340.000000
177回目,84612.000000,85572.000000,560436.000000,285320.000000
178回目,84784.000000,85596.000000,560804.000000,285244.000000
179回目,84588.000000,85360.000000,560852.000000,285008.000000
180回目,84228.000000,85616.000000,560568.000000,285152.000000
181回目,84776.000000,85272.000000,560456.000000,285368.000000
182回目,84580.000000,85608.000000,560616.000000,285184.000000
183回目,84912.000000,85652.000000,560956.000000,284660.000000
184回目,84172.000000,85904.000000,560452.000000,285188.000000
185回目,84188.000000,85560.000000,560788.000000,285284.000000
186回目,84476.000000,85636.000000,560712.000000,285156.000000
187回目,84752.000000,85652.000000,560612.000000,285112.000000
188回目,84464.000000,85664.000000,561144.000000,285176.000000
189回目,84876.000000,85672.000000,560744.000000,285228.000000
190回目,84880.000000,85320.000000,560672.000000,285112.000000
191回目,84700.000000,85864.000000,561000.000000,284916.000000
192回目,84676.000000,85164.000000,560408.000000,284996.000000
193回目,84768.000000,85568.000000,560628.000000,285108.000000
194回目,84504.000000,85780.000000,561152.000000,285300.000000
195回目,84200.000000,85532.000000,560624.000000,285148.000000
196回目,84916.000000,85896.000000,560656.000000,285152.000000
197回目,84400.000000,85700.000000,560796.000000,285576.000000
198回目,84196.000000,85444.000000,560652.000000,284652.000000
199回目,84220.000000,85252.000000,560504.000000,285212.000000
200回目,84356.000000,85700.000000,560632.000000,285072.000000
201回目,84524.000000,85720.000000,561032.000000,284936.000000
202回目,84916.000000,85728.000000,560848.000000,285484.000000
203回目,84160.000000,85464.000000,560936.000000,285236.000000
204回目,84056.000000,85748.000000,560552.000000,285428.000000
205回目,84716.000000,85240.000000,560780.000000,285160.000000
206回目,84344.000000,85616.000000,560820.000000,284684.000000
207回目,84908.000000,85472.000000,560488.000000,285360.000000
