SimTime,GPSR,NGPSR,NPGPSR,NDGPSR
70回目,347.345000,1915.840000,1322.550000,637.340000
71回目,344.044000,1913.860000,1323.940000,634.603000
72回目,347.627000,1914.970000,1326.090000,636.184000
73回目,343.715000,1911.890000,1327.440000,634.658000
74回目,340.542000,1911.020000,1328.610000,641.244000
75回目,341.782000,1896.430000,1324.730000,638.548000
76回目,345.523000,1892.740000,1324.880000,639.529000
77回目,343.726000,1923.980000,1329.900000,636.366000
78回目,347.208000,1905.250000,1327.670000,635.465000
79回目,344.724000,1909.460000,1327.170000,636.509000
80回目,345.458000,1899.550000,1322.740000,634.415000
81回目,347.372000,1961.060000,1322.690000,638.831000
82回目,344.547000,1899.000000,1323.970000,635.908000
83回目,342.544000,1928.970000,1320.580000,634.398000
84回目,343.565000,1918.400000,1319.450000,634.368000
85回目,344.690000,1904.920000,1324.460000,636.326000
86回目,348.118000,1904.740000,1327.200000,631.751000
87回目,343.221000,1911.380000,1322.080000,636.529000
88回目,340.536000,1911.800000,1320.740000,639.674000
89回目,347.394000,1922.990000,1328.200000,638.249000
90回目,341.255000,1903.620000,1326.340000,641.096000
91回目,343.269000,1949.910000,1323.520000,631.260000
92回目,345.406000,1921.740000,1327.250000,638.500000
93回目,341.448000,1916.000000,1325.670000,638.248000
94回目,342.177000,1901.710000,1329.230000,645.446000
95回目,347.457000,1902.860000,1326.560000,631.839000
96回目,344.356000,1915.120000,1323.600000,634.282000
97回目,342.704000,1909.030000,1326.740000,634.237000
98回目,345.845000,1923.080000,1325.540000,636.044000
99回目,346.654000,1901.060000,1326.910000,644.682000
100回目,340.536000,1914.090000,1327.390000,636.156000
101回目,340.451000,1955.550000,1324.960000,635.436000
102回目,345.465000,1912.920000,1323.760000,631.311000
103回目,341.779000,1894.550000,1324.680000,638.753000
104回目,343.581000,1897.880000,1321.440000,637.610000
105回目,342.988000,1900.450000,1321.230000,636.721000
106回目,344.458000,1907.940000,1323.510000,632.882000
107回目,345.152000,1901.960000,1322.020000,633.178000
108回目,346.363000,1905.810000,1326.420000,636.210000
109回目,343.620000,1898.780000,1327.710000,639.480000
110回目,346.384000,1904.700000,1325.020000,636.976000
111回目,345.486000,1900.130000,1323.000000,639.446000
112回目,345.167000,1899.260000,1323.240000,636.567000
113回目,343.611000,1915.580000,1328.790000,638.815000
114回目,345.569000,1893.780000,1322.190000,633.410000
115回目,346.428000,1901.610000,1323.010000,637.547000
116回目,341.561000,1887.740000,1320.980000,635.671000
117回目,342.449000,1910.410000,1321.830000,642.702000
118回目,341.954000,1887.890000,1326.870000,635.015000
119回目,347.446000,1888.480000,1327.130000,634.325000
120回目,342.632000,1911.610000,1327.810000,635.419000
121回目,344.253000,1915.940000,1327.200000,635.027000
