PDR,GPSR,NGPSR,NPGPSR,NDGPSR
189回目,82.885900,87.919500,85.906000,87.248300
190回目,82.885900,88.255000,85.570500,86.577200
191回目,84.228200,88.926200,88.255000,86.912800
192回目,82.885900,88.926200,84.563800,86.241600
193回目,83.221500,87.919500,86.241600,86.577200
194回目,82.214800,87.583900,83.892600,86.241600
195回目,84.228200,88.926200,86.577200,88.590600
196回目,82.214800,87.248300,86.912800,87.248300
197回目,84.563800,88.926200,85.570500,86.912800
198回目,82.214800,86.912800,88.255000,87.248300
199回目,84.563800,86.577200,85.906000,87.583900
200回目,82.885900,88.926200,86.577200,86.577200
201回目,84.228200,87.248300,90.939600,86.912800
202回目,84.228200,87.919500,86.912800,87.583900
203回目,82.214800,84.848500,87.917500,86.577200
204回目,82.550300,88.255000,86.912800,87.583900
205回目,84.228200,88.926200,85.234900,88.590600
206回目,82.214800,87.248300,84.899300,86.577200
207回目,82.885900,88.590600,85.570500,88.888900
208回目,83.501700,87.919500,86.241600,86.577200
209回目,81.543600,88.255000,87.248300,89.261700
210回目,84.563800,87.583900,90.604000,87.248300
211回目,82.214800,86.912800,86.912800,86.577200
212回目,82.885900,87.205400,88.552200,89.261700
213回目,82.214800,88.926200,86.577200,86.241600
214回目,82.550300,87.248300,84.563800,87.583900
215回目,83.221500,86.577200,83.557000,87.583900
216回目,82.885900,87.919500,86.241600,89.261700
217回目,82.214800,88.590600,87.248300,89.261700
218回目,84.563800,86.912800,90.604000,88.590600
219回目,84.563800,88.255000,86.241600,87.248300
220回目,82.885900,88.590600,86.241600,87.248300
221回目,82.885900,87.919500,90.604000,88.888900
222回目,83.221500,88.255000,87.248300,89.261700
223回目,84.228200,87.919500,84.563800,86.241600
224回目,83.501700,87.919500,84.899300,87.248300
225回目,83.501700,86.577200,86.577200,86.912800
226回目,82.214800,87.248300,85.234900,87.248300
227回目,85.570500,88.590600,89.261700,86.241600
228回目,83.501700,88.926200,84.563800,86.241600
229回目,83.221500,88.255000,88.255000,86.577200
230回目,84.563800,88.926200,88.926200,88.888900
231回目,85.570500,88.926200,85.906000,87.583900
232回目,84.563800,87.919500,87.919500,89.261700
233回目,81.543600,90.268500,86.241600,86.577200
234回目,84.228200,88.926200,87.583900,86.577200
235回目,82.214800,86.912800,85.906000,88.590600
236回目,82.550300,86.577200,85.234900,88.590600
237回目,84.563800,88.926200,87.919500,88.888900
238回目,81.543600,86.912800,87.248300,86.241600
239回目,82.214800,88.590600,90.604000,86.577200
240回目,85.570500,86.577200,85.521900,86.241600
241回目,83.221500,87.919500,85.570500,86.241600
242回目,82.550300,88.255000,88.590600,86.912800
243回目,84.563800,86.912800,88.255000,86.577200
244回目,82.885900,87.919500,89.597300,87.248300
245回目,82.214800,87.919500,86.577200,89.261700
246回目,85.570500,87.205400,86.577200,87.583900
247回目,82.550300,88.926200,84.228200,86.241600
248回目,82.214800,88.590600,85.570500,86.577200
249回目,82.885900,88.255000,86.241600,86.577200
250回目,82.214800,87.248300,87.583900,86.577200
