Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
199回目,5235236.000000,13974039.000000,12322546.000000,12284897.000000
200回目,5258782.000000,13893192.000000,12311840.000000,12294557.000000
201回目,5226268.000000,13843343.000000,12272870.000000,12295703.000000
202回目,5226268.000000,13871676.000000,12304214.000000,12284897.000000
203回目,5236662.000000,13852923.000000,12294028.000000,12312823.000000
204回目,5263474.000000,13826843.000000,12313174.000000,12284897.000000
205回目,5226268.000000,13874074.000000,12329044.000000,12280057.000000
206回目,5236662.000000,13834275.000000,12333414.000000,12295547.000000
207回目,5257928.000000,13938535.000000,12324746.000000,12262175.000000
208回目,5225164.000000,13964067.000000,12322414.000000,12294557.000000
209回目,5231356.000000,13891212.000000,12304502.000000,12253477.000000
210回目,5235236.000000,13913766.000000,12306446.000000,12302647.000000
211回目,5223126.000000,13976635.000000,12333794.000000,12295547.000000
212回目,5257928.000000,13927176.000000,12304006.000000,12253477.000000
213回目,5236662.000000,13893192.000000,12298014.000000,12284045.000000
214回目,5263474.000000,13843343.000000,12338876.000000,12284897.000000
215回目,5226748.000000,13974039.000000,12341194.000000,12284897.000000
216回目,5258782.000000,13908516.000000,12322984.000000,12253477.000000
217回目,5236662.000000,13882984.000000,12314960.000000,12253477.000000
218回目,5235236.000000,13921084.000000,12299018.000000,12280057.000000
219回目,5235236.000000,13891212.000000,12311152.000000,12302647.000000
220回目,5258782.000000,13938535.000000,12302310.000000,12302647.000000
221回目,5258782.000000,13908516.000000,12303674.000000,12262175.000000
222回目,5226748.000000,13946763.000000,12273356.000000,12253477.000000
223回目,5226268.000000,13908516.000000,12328466.000000,12284045.000000
224回目,5225164.000000,13908516.000000,12337696.000000,12298905.000000
225回目,5225164.000000,13918488.000000,12315028.000000,12295703.000000
226回目,5223126.000000,13834275.000000,12312688.000000,12302647.000000
227回目,5225230.000000,13850671.000000,12320922.000000,12284045.000000
228回目,5225164.000000,13825273.000000,12344746.000000,12284045.000000
229回目,5226748.000000,13891212.000000,12297682.000000,12295547.000000
230回目,5235236.000000,13893192.000000,12301814.000000,12262175.000000
